acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.261,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,0.749,131872,0.729,3rUGC1vUpkDG9CZFHMur1t,0.0,6,0.113,-3.19,0,0.0321,111.004,1,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,audio_features,spotify:track:3rUGC1vUpkDG9CZFHMur1t,0.816
0.29,https://api.spotify.com/v1/audio-analysis/2prqm9sPLj10B4Wg0wE5x9,0.349,343120,0.337,2prqm9sPLj10B4Wg0wE5x9,0.172,7,0.139,-10.671,1,0.0407,142.01,4,https://api.spotify.com/v1/tracks/2prqm9sPLj10B4Wg0wE5x9,audio_features,spotify:track:2prqm9sPLj10B4Wg0wE5x9,0.0365
0.342,https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e,0.52,167303,0.731,4Dvkj6JhhA12EX05fT7y2e,0.00101,6,0.311,-5.338,0,0.0557,173.93,4,https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e,audio_features,spotify:track:4Dvkj6JhhA12EX05fT7y2e,0.662
0.27,https://api.spotify.com/v1/audio-analysis/2IGMVunIBsBLtEQyoI1Mu7,0.87,230000,0.54,2IGMVunIBsBLtEQyoI1Mu7,0.0,5,0.09,-8.6,1,0.17,99.97,4,https://api.spotify.com/v1/tracks/2IGMVunIBsBLtEQyoI1Mu7,audio_features,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,0.73
0.13,https://api.spotify.com/v1/audio-analysis/2qSkIjg1o9h3YT9RAgYN75,0.7,175000,0.77,2qSkIjg1o9h3YT9RAgYN75,0.0,0,0.2,-5.49,1,0.03,103.98,4,https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75,audio_features,spotify:track:2qSkIjg1o9h3YT9RAgYN75,0.66
0.0768,https://api.spotify.com/v1/audio-analysis/0ac1yxdTLorGFqT4R0N0f4,0.739,198000,0.937,0ac1yxdTLorGFqT4R0N0f4,0.0,0,0.191,-4.271,1,0.128,130.025,4,https://api.spotify.com/v1/tracks/0ac1yxdTLorGFqT4R0N0f4,audio_features,spotify:track:0ac1yxdTLorGFqT4R0N0f4,0.91
0.582,https://api.spotify.com/v1/audio-analysis/0Z7nGFVCLfixWctgePsRk9,0.727,233457,0.711,0Z7nGFVCLfixWctgePsRk9,0.0,2,0.158,-6.549,1,0.078,110.012,4,https://api.spotify.com/v1/tracks/0Z7nGFVCLfixWctgePsRk9,audio_features,spotify:track:0Z7nGFVCLfixWctgePsRk9,0.375
0.00105,https://api.spotify.com/v1/audio-analysis/78TvkItRPxnA5S7Ok2f7Ug,0.681,67168,0.611,78TvkItRPxnA5S7Ok2f7Ug,0.572,1,0.167,-7.607,1,0.0325,129.968,4,https://api.spotify.com/v1/tracks/78TvkItRPxnA5S7Ok2f7Ug,audio_features,spotify:track:78TvkItRPxnA5S7Ok2f7Ug,0.532
0.0383,https://api.spotify.com/v1/audio-analysis/567e29TDzLwZwfDuEpGTwo,0.591,141806,0.764,567e29TDzLwZwfDuEpGTwo,0.0,1,0.103,-5.484,1,0.0483,169.928,4,https://api.spotify.com/v1/tracks/567e29TDzLwZwfDuEpGTwo,audio_features,spotify:track:567e29TDzLwZwfDuEpGTwo,0.478
0.259,https://api.spotify.com/v1/audio-analysis/5ygDXis42ncn6kYG14lEVG,0.829,80927,0.886,5ygDXis42ncn6kYG14lEVG,0.0,8,0.0559,-1.746,1,0.112,115.056,4,https://api.spotify.com/v1/tracks/5ygDXis42ncn6kYG14lEVG,audio_features,spotify:track:5ygDXis42ncn6kYG14lEVG,0.777
0.0615,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,0.645,228639,0.646,51ZQ1vr10ffzbwIjDCwqm4,3.04e-05,5,0.074,-8.334,1,0.0427,115.842,4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,audio_features,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,0.295
0.0611,https://api.spotify.com/v1/audio-analysis/1h94Gt9wygZ7vPFR07fYPG,0.684,206301,0.752,1h94Gt9wygZ7vPFR07fYPG,0.0,2,0.255,-5.788,1,0.147,107.003,4,https://api.spotify.com/v1/tracks/1h94Gt9wygZ7vPFR07fYPG,audio_features,spotify:track:1h94Gt9wygZ7vPFR07fYPG,0.791
0.0768,https://api.spotify.com/v1/audio-analysis/76n1sIMW6s9S2dCEPAl4GM,0.739,198000,0.937,76n1sIMW6s9S2dCEPAl4GM,0.0,0,0.191,-4.271,1,0.128,130.025,4,https://api.spotify.com/v1/tracks/76n1sIMW6s9S2dCEPAl4GM,audio_features,spotify:track:76n1sIMW6s9S2dCEPAl4GM,0.91
0.113,https://api.spotify.com/v1/audio-analysis/1njlnn8ZKHI77Pe9szIONR,0.774,170357,0.728,1njlnn8ZKHI77Pe9szIONR,0.0,2,0.0473,-5.079,1,0.169,140.041,4,https://api.spotify.com/v1/tracks/1njlnn8ZKHI77Pe9szIONR,audio_features,spotify:track:1njlnn8ZKHI77Pe9szIONR,0.461
0.0856,https://api.spotify.com/v1/audio-analysis/5aIVCx5tnk0ntmdiinnYvw,0.673,200256,0.722,5aIVCx5tnk0ntmdiinnYvw,0.0,3,0.137,-3.495,0,0.0755,117.187,4,https://api.spotify.com/v1/tracks/5aIVCx5tnk0ntmdiinnYvw,audio_features,spotify:track:5aIVCx5tnk0ntmdiinnYvw,0.519
0.701,https://api.spotify.com/v1/audio-analysis/5mjYQaktjmjcMKcUIcqz4s,0.628,172965,0.523,5mjYQaktjmjcMKcUIcqz4s,0.00274,11,0.219,-8.307,0,0.0946,169.982,4,https://api.spotify.com/v1/tracks/5mjYQaktjmjcMKcUIcqz4s,audio_features,spotify:track:5mjYQaktjmjcMKcUIcqz4s,0.416
0.138,https://api.spotify.com/v1/audio-analysis/79pge4Rth6LEDG2Dvnud3f,0.842,232193,0.56,79pge4Rth6LEDG2Dvnud3f,1.97e-05,1,0.0561,-6.704,1,0.055,97.803,4,https://api.spotify.com/v1/tracks/79pge4Rth6LEDG2Dvnud3f,audio_features,spotify:track:79pge4Rth6LEDG2Dvnud3f,0.768
0.0633,https://api.spotify.com/v1/audio-analysis/2FQrifJ1N335Ljm3TjTVVf,0.722,171292,0.709,2FQrifJ1N335Ljm3TjTVVf,0.0,9,0.0804,-4.95,1,0.0273,81.012,4,https://api.spotify.com/v1/tracks/2FQrifJ1N335Ljm3TjTVVf,audio_features,spotify:track:2FQrifJ1N335Ljm3TjTVVf,0.604
0.199,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,0.561,210689,0.604,17phhZDn6oGtzMe56NuWvj,1.9e-05,9,0.104,-4.409,1,0.0337,159.92,3,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,audio_features,spotify:track:17phhZDn6oGtzMe56NuWvj,0.242
