Track,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Apple Music Playlist Count,AirPlay Spins,Shazam Counts,Explicit Track
Savage,Megan Thee Stallion,3/6/2020,QMCE32000097,1563,37.1,427275743,63715,20704851,61,340951703,3460872,64446548,419613742,72,50845,2056307,1
You Should Probably Leave,Chris Stapleton,11/13/2020,USUM72013814,1566,37.0,427605317,56215,12087656,77,116140773,657247,6336873,85185999,29,183702,1075951,0
Runaway,AURORA,2/7/2015,GBUM71500527,1567,37.0,884816583,204318,32928246,70,959919759,18300103,815869957,6276979194,100,4833,8277994,0
Spicy,aespa,5/8/2023,KRA302300145,1570,37.0,133536914,12910,7751540,63,259267584,1817066,29633431,236752341,29,2598,206236,0
Need It,Migos,5/22/2020,USUG12000098,1569,37.0,328017675,115095,17047436,67,160730418,2090732,9174467,74601136,31,83,1285243,1
Into You,Ariana Grande,4/1/2016,USUM71601827,1571,37.0,1368497471,112014,38138998,72,1149519353,6578172,56141850,340034199,110,39299,4202931,0
Invincible,Pop Smoke,2/7/2020,USUM72002003,1573,37.0,549824221,173912,17443810,70,192954440,1879700,194204681,2215721495,21,546,1680361,1
Le Monde,Richard Carter,8/4/2023,QMB622321018,1568,37.0,84141101,23465,5042229,62,1453321,28558,204805977,2320937018,2,3186,2508208,0
Ya No Somos Ni Seremos,Christian Nodal,2/18/2022,MXF012200055,1580,36.9,469278591,30545,19963782,76,386430123,2100967,32595231,572889929,28,15744,1140459,0
Goa Beach,Tony Kakkar,2/11/2020,FR10S2014119,1576,36.9,33384757,3507,1365917,48,547206302,3673228,120770451,2180222501,2,663,92503,0
Sharks,Imagine Dragons,6/24/2022,USUM72205464,1579,36.9,283572432,48772,11144471,65,194184325,1695485,4634496,57932068,19,106207,2027751,0
Teenage Dream,Stephen Dawes,6/2/2022,USDA12202749,1578,36.9,170404957,31472,6431843,64,35509290,602329,111461479,960222096,1,125,600114,0
Thunder,Gabry Ponte,5/7/2021,ITV952100014,1582,36.8,551090518,146088,68848253,75,159774916,1105668,24033,361365,47,6513,3084343,0
Thousand Miles,The Kid LAROI,4/22/2022,USSM12203367,1583,36.8,299159279,65016,30594262,65,77821012,905318,36740366,393771352,50,191286,1415750,1
Staying Alive,DJ Khaled,8/5/2022,USSM12206682,1586,36.8,204471704,72788,16063916,55,53474695,805089,13223561,154240769,41,121514,813790,1
Walk Em Down,NLE Choppa,3/19/2020,USWB12000247,1584,36.8,565296902,139124,21558993,68,382444699,3526955,30493030,244428689,48,19932,1233851,1
Khairiyat,Arijit Singh,8/31/2019,INS181904666,1587,36.8,240571166,23561,8550167,65,1362890151,10543675,45771,617708,3,672,121166,0
Moves Like Jagger Studio Recording From The Voice Performance,Maroon 5,1/1/2010,USUM71109132,1598,36.7,1461578587,216137,99533361,76,808548795,3748427,43182317,284400429,198,1132,10962898,0
Private Landing,Don Toliver,2/23/2023,USAT22301679,1599,36.7,242528711,57228,39892662,72,31286296,367511,13605648,115624415,18,54682,1224483,1
Turn Yo Clic Up,Quavo,7/14/2023,USUG12300051,1593,36.7,70868414,32989,17684550,57,44841616,419069,3924380,48989328,21,60414,771945,1
Hotline Bling,Drake,7/31/2015,USCM51500238,1588,36.7,1335494972,205003,49738762,72,165545575,1446742,38122550,284269402,376,94699,11339270,0
Chup,El Gudi,8/25/2023,PYC842302802,1597,36.7,126216271,8260,5602330,61,144392606,1240106,195604072,2031974901,4,673,233859,0
Emiliana,CKay,12/3/2021,ZA34K2100657,1595,36.7,223634694,85051,6093468,62,172919874,1244703,57078249,968182145,80,41200,3394423,0
Life Goes On,BTS,11/20/2020,QMBZ92051791,1594,36.7,717715448,43805,25129169,70,640225413,19718272,211335376,1177171729,55,23706,1991071,0
Cry,Benson Boone,4/5/2024,USWB12401092,1589,36.7,72952792,5724,21375874,18,9235207,107668,3556100,45173400,26,2718,149275,0
1100 Pm,Maluma,5/17/2019,USSD11900166,1596,36.7,719602988,64741,26033088,67,1040666593,3868761,2730302,29561419,71,22273,2007313,0
Bitch Lets Do It,YoungBoy Never Broke Again,5/12/2023,USUG12303290,1600,36.6,46368950,20691,2569902,60,69966850,590978,7010363,48621537,6,1099,481651,1
Move Your Body,ýýwnboss,10/29/2021,NLZ542101576,1606,36.6,366000029,116490,66103377,71,91180099,918683,82329732,1275662545,78,55798,4585715,0
Faucet Failure,Ski Mask The Slump God,11/30/2018,USUM71820924,1601,36.6,571258899,121284,14959393,66,180999094,2026987,22668891,142353962,21,275,1096452,1
Danza Kuduro,Don Omar,1/1/2010,USUM71020778,1605,36.6,1656974409,266408,90687992,76,597309937,3662324,16978206,191397624,104,9175,3110,0
Suavemente,Soolking,2/22/2022,FR9KQ2200190,1608,36.6,159676691,53444,4694099,59,328647215,2027788,35999887,535066055,35,39664,1827296,0
Locked Out Of Heaven,Bruno Mars,1/1/2012,USAT21203287,1602,36.6,2004657631,277766,134689771,83,1400581749,9714447,11894522,91255671,150,378433,715420,0
Party Rock Anthem,LMFAO,1/1/2011,USUM71100061,1609,36.6,717233625,190770,55770260,68,2681563789,13879113,60606503,474207854,148,84021,10711856,0
Jealous,Eyedress,12/6/2019,GBMYF1900115,1615,36.5,789418331,170553,31361482,78,100552408,2069625,191909759,1315165820,9,113,2230596,0
