Track,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Apple Music Playlist Count,AirPlay Spins,Shazam Counts,Explicit Track,isrc,spotify_id,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,genre
Million Dollar Baby,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,390470936,30716,196631588,92,84274754,1713126,651565900,5332281936,210,40975,2669262,0,QM24S2402528,5AJ9hqTS2wcFQCELCFRO7A,0.0973,https://api.spotify.com/v1/audio-analysis/5AJ9hqTS2wcFQCELCFRO7A,0.852,155152.0,0.697,5AJ9hqTS2wcFQCELCFRO7A,0.00037,1.0,0.0678,-5.52,0.0,0.0439,138.029,4.0,https://api.spotify.com/v1/tracks/5AJ9hqTS2wcFQCELCFRO7A,audio_features,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,0.919,Latin
Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,545.9,323703884,28113,174597137,92,116347040,3486739,35223547,208339025,188,40778,1118279,1,USUG12400910,6AI3ezQ4o3HUoP6Dhudph3,0.0107,https://api.spotify.com/v1/audio-analysis/6AI3ezQ4o3HUoP6Dhudph3,0.898,274192.0,0.472,6AI3ezQ4o3HUoP6Dhudph3,0.0,1.0,0.141,-7.001,1.0,0.0776,101.061,4.0,https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3,audio_features,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,0.214,R&B/Soul
I Like The Way You Kiss Me,Artemas,3/19/2024,QZJ842400387,3,538.4,601309283,54331,211607669,92,122599116,2228730,275154237,3369120610,190,74333,5285340,0,QZJ842400387,2GxrNKugF82CnoRFbQfzPf,0.000938,https://api.spotify.com/v1/audio-analysis/2GxrNKugF82CnoRFbQfzPf,0.599,142515.0,0.946,2GxrNKugF82CnoRFbQfzPf,0.0106,11.0,0.0826,-4.263,1.0,0.0447,151.647,4.0,https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf,audio_features,spotify:track:2GxrNKugF82CnoRFbQfzPf,0.747,Pop
Flowers,Miley Cyrus,1/12/2023,USSM12209777,4,444.9,2031280633,269802,136569078,85,1096100899,10629796,1078757968,14603725994,394,1474799,11822942,0,USSM12209777,7DSAEUvxU8FajXtRloy8M0,0.0584,https://api.spotify.com/v1/audio-analysis/7DSAEUvxU8FajXtRloy8M0,0.706,200600.0,0.691,7DSAEUvxU8FajXtRloy8M0,6.99e-05,0.0,0.0232,-4.775,1.0,0.0633,118.048,4.0,https://api.spotify.com/v1/tracks/7DSAEUvxU8FajXtRloy8M0,audio_features,spotify:track:7DSAEUvxU8FajXtRloy8M0,0.632,Pop
Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,410.1,670665438,105892,175421034,83,131148091,1392593,214943489,2938686633,138,522042,4517131,1,USAT22311371,4xhsWYTOGcal8zt0J161CU,0.0026,https://api.spotify.com/v1/audio-analysis/4xhsWYTOGcal8zt0J161CU,0.943,138411.0,0.558,4xhsWYTOGcal8zt0J161CU,2.19e-06,2.0,0.0937,-4.911,1.0,0.0568,104.983,4.0,https://api.spotify.com/v1/tracks/4xhsWYTOGcal8zt0J161CU,audio_features,spotify:track:4xhsWYTOGcal8zt0J161CU,0.606,Latin
Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407.2,900158751,73118,201585714,86,308723145,4120760,29584940,534915313,280,383478,9990302,0,USWB12307016,3xkHsmpQCBMytMJNiDf3Ii,0.151,https://api.spotify.com/v1/audio-analysis/3xkHsmpQCBMytMJNiDf3Ii,0.472,180304.0,0.471,3xkHsmpQCBMytMJNiDf3Ii,0.0,10.0,0.14,-5.692,1.0,0.0603,105.029,3.0,https://api.spotify.com/v1/tracks/3xkHsmpQCBMytMJNiDf3Ii,audio_features,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,0.219,Pop
Gata Only,FloyyMenor,2/2/2024,QZL382406049,8,375.8,675079153,40094,211236940,92,228382568,1439495,338546668,3804584163,160,17221,6063523,1,QZL382406049,6XjDF6nds4DE2BBbagZol6,0.446,https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6,0.791,222000.0,0.499,6XjDF6nds4DE2BBbagZol6,2.41e-05,8.0,0.0899,-8.472,0.0,0.0509,99.986,4.0,https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6,audio_features,spotify:track:6XjDF6nds4DE2BBbagZol6,0.669,Indie/Alternative
Band4Band,Central Cee,5/23/2024,USSM12404354,10,330.6,90676573,10400,184199419,86,32735244,988682,121574500,974656200,191,3823,666302,1,USSM12404354,70TGNwQDvF5b6GQWlYPr8p,0.346,https://api.spotify.com/v1/audio-analysis/70TGNwQDvF5b6GQWlYPr8p,0.884,140720.0,0.75,70TGNwQDvF5b6GQWlYPr8p,0.0,11.0,0.124,-5.236,1.0,0.198,140.114,4.0,https://api.spotify.com/v1/tracks/70TGNwQDvF5b6GQWlYPr8p,audio_features,spotify:track:70TGNwQDvF5b6GQWlYPr8p,0.88,Latin
I Had Some Help,Post Malone,5/10/2024,USUM72404990,11,322.1,250080413,16219,168766158,91,32229063,550191,184500,2100000,157,62312,963413,1,USUM72404990,7221xIgOnuakPdLqT0F3nP,0.00757,https://api.spotify.com/v1/audio-analysis/7221xIgOnuakPdLqT0F3nP,0.638,178206.0,0.855,7221xIgOnuakPdLqT0F3nP,0.0,7.0,0.245,-4.86,1.0,0.0264,127.986,4.0,https://api.spotify.com/v1/tracks/7221xIgOnuakPdLqT0F3nP,audio_features,spotify:track:7221xIgOnuakPdLqT0F3nP,0.731,Pop
Lunch,Billie Eilish,5/17/2024,USUM72401991,13,316.3,221636195,13800,197280692,92,40022524,1307290,45889000,360017000,244,41344,450344,0,USUM72401991,629DixmZGHc7ILtEntuiWE,0.0452,https://api.spotify.com/v1/audio-analysis/629DixmZGHc7ILtEntuiWE,0.893,179587.0,0.4,629DixmZGHc7ILtEntuiWE,0.0823,11.0,0.0632,-7.981,0.0,0.0643,124.987,4.0,https://api.spotify.com/v1/tracks/629DixmZGHc7ILtEntuiWE,audio_features,spotify:track:629DixmZGHc7ILtEntuiWE,0.945,R&B/Soul
Bathroom Floor,Kids With Buns,10/7/2022,NLC242100307,15,301.6,297185,277,24445,12,6736502312,16785489,1088,22234,1,1057,3288,0,NLC242100307,5JvEHdLTVmD6I9a3EMoOjL,0.0603,https://api.spotify.com/v1/audio-analysis/5JvEHdLTVmD6I9a3EMoOjL,0.737,210444.0,0.583,5JvEHdLTVmD6I9a3EMoOjL,0.0359,0.0,0.164,-9.703,0.0,0.0358,122.958,4.0,https://api.spotify.com/v1/tracks/5JvEHdLTVmD6I9a3EMoOjL,audio_features,spotify:track:5JvEHdLTVmD6I9a3EMoOjL,0.382,R&B/Soul
Lala,Myke Towers,3/22/2023,USWL12300002,16,299.9,925655569,103605,79944921,79,934302031,4294166,521725116,7499234052,94,92231,2765808,1,USWL12300002,7ABLbnD53cQK00mhcaOUVG,0.0739,https://api.spotify.com/v1/audio-analysis/7ABLbnD53cQK00mhcaOUVG,0.708,197920.0,0.737,7ABLbnD53cQK00mhcaOUVG,0.00162,1.0,0.0955,-4.045,1.0,0.0436,91.986,4.0,https://api.spotify.com/v1/tracks/7ABLbnD53cQK00mhcaOUVG,audio_features,spotify:track:7ABLbnD53cQK00mhcaOUVG,0.607,Pop
Fortnight,Taylor Swift,4/18/2024,USUG12401028,17,297.6,395433400,12784,177932568,89,104673836,2484083,25348800,207317000,221,129968,1210029,0,USUG12401028,2OzhQlSqBEmt7hmkYxfT6m,0.502,https://api.spotify.com/v1/audio-analysis/2OzhQlSqBEmt7hmkYxfT6m,0.504,228965.0,0.386,2OzhQlSqBEmt7hmkYxfT6m,1.53e-05,11.0,0.0961,-10.976,1.0,0.0308,192.004,4.0,https://api.spotify.com/v1/tracks/2OzhQlSqBEmt7hmkYxfT6m,audio_features,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,0.281,Indie/Alternative
Greedy,Tate McRae,9/14/2023,USRC12301932,18,293.7,1258569694,105218,198845580,87,141646818,1514837,419319161,5456156211,207,667329,6973652,1,USRC12301932,3rUGC1vUpkDG9CZFHMur1t,0.261,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,0.749,131872.0,0.729,3rUGC1vUpkDG9CZFHMur1t,0.0,6.0,0.113,-3.19,0.0,0.0321,111.004,1.0,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,audio_features,spotify:track:3rUGC1vUpkDG9CZFHMur1t,0.816,Pop
Blue,Billie Eilish,5/17/2024,USUM72401996,19,292.6,91272461,6499,52287548,86,16038053,569377,119740900,1225345800,76,181,257661,0,USUM72401996,2prqm9sPLj10B4Wg0wE5x9,0.29,https://api.spotify.com/v1/audio-analysis/2prqm9sPLj10B4Wg0wE5x9,0.349,343120.0,0.337,2prqm9sPLj10B4Wg0wE5x9,0.172,7.0,0.139,-10.671,1.0,0.0407,142.01,4.0,https://api.spotify.com/v1/tracks/2prqm9sPLj10B4Wg0wE5x9,audio_features,spotify:track:2prqm9sPLj10B4Wg0wE5x9,0.0365,Indie/Alternative
As It Was,Harry Styles,3/31/2022,USSM12200612,20,292.0,3301814535,407119,169783402,87,800899315,9101589,1633970617,15405881843,455,1777811,14967379,0,USSM12200612,4Dvkj6JhhA12EX05fT7y2e,0.342,https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e,0.52,167303.0,0.731,4Dvkj6JhhA12EX05fT7y2e,0.00101,6.0,0.311,-5.338,0.0,0.0557,173.93,4.0,https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e,audio_features,spotify:track:4Dvkj6JhhA12EX05fT7y2e,0.662,Pop
Paint The Town Red,Doja Cat,8/4/2023,USRC12300907,21,290.5,1065399331,170890,121712197,78,240970670,2749668,652428798,7095564106,158,400899,7559816,1,USRC12300907,2IGMVunIBsBLtEQyoI1Mu7,0.27,https://api.spotify.com/v1/audio-analysis/2IGMVunIBsBLtEQyoI1Mu7,0.87,230000.0,0.54,2IGMVunIBsBLtEQyoI1Mu7,0.0,5.0,0.09,-8.6,1.0,0.17,99.97,4.0,https://api.spotify.com/v1/tracks/2IGMVunIBsBLtEQyoI1Mu7,audio_features,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,0.73,Latin
Espresso,Sabrina Carpenter,4/12/2024,USUM72403305,22,281.5,547882871,24425,262343414,95,107550212,1825761,169144295,1379499000,298,37208,1373085,1,USUM72403305,2qSkIjg1o9h3YT9RAgYN75,0.13,https://api.spotify.com/v1/audio-analysis/2qSkIjg1o9h3YT9RAgYN75,0.7,175000.0,0.77,2qSkIjg1o9h3YT9RAgYN75,0.0,0.0,0.2,-5.49,1.0,0.03,103.98,4.0,https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75,audio_features,spotify:track:2qSkIjg1o9h3YT9RAgYN75,0.66,Pop
Texas Hold Em,BeyoncÃ¯Â¿,2/10/2024,USSM12401302,24,278.9,426700979,34044,152928632,86,35724356,437980,485200392,6518604175,159,309497,2100708,1,USSM12401302,0Z7nGFVCLfixWctgePsRk9,0.582,https://api.spotify.com/v1/audio-analysis/0Z7nGFVCLfixWctgePsRk9,0.727,233457.0,0.711,0Z7nGFVCLfixWctgePsRk9,0.0,2.0,0.158,-6.549,1.0,0.078,110.012,4.0,https://api.spotify.com/v1/tracks/0Z7nGFVCLfixWctgePsRk9,audio_features,spotify:track:0Z7nGFVCLfixWctgePsRk9,0.375,Pop
Baby Shark,Pinkfong,12/1/2015,KRE671700001,28,265.7,720822868,60945,7530769,71,16322756555,48757673,281762094,6577639193,33,284,2064420,0,KRE671700001,5ygDXis42ncn6kYG14lEVG,0.259,https://api.spotify.com/v1/audio-analysis/5ygDXis42ncn6kYG14lEVG,0.829,80927.0,0.886,5ygDXis42ncn6kYG14lEVG,0.0,8.0,0.0559,-1.746,1.0,0.112,115.056,4.0,https://api.spotify.com/v1/tracks/5ygDXis42ncn6kYG14lEVG,audio_features,spotify:track:5ygDXis42ncn6kYG14lEVG,0.777,Latin
Sheesh,BABYMONSTER,4/1/2024,KRA402400016,32,237.5,124893397,3479,25936342,82,359896095,4907193,48327004,390081328,36,2188,191867,0,KRA402400016,1njlnn8ZKHI77Pe9szIONR,0.113,https://api.spotify.com/v1/audio-analysis/1njlnn8ZKHI77Pe9szIONR,0.774,170357.0,0.728,1njlnn8ZKHI77Pe9szIONR,0.0,2.0,0.0473,-5.079,1.0,0.169,140.041,4.0,https://api.spotify.com/v1/tracks/1njlnn8ZKHI77Pe9szIONR,audio_features,spotify:track:1njlnn8ZKHI77Pe9szIONR,0.461,Pop
Water,Tyla,7/28/2023,USSM12305126,33,234.6,670376179,98450,150471020,83,265180930,2566846,369150956,3932956380,225,486952,6447136,0,USSM12305126,5aIVCx5tnk0ntmdiinnYvw,0.0856,https://api.spotify.com/v1/audio-analysis/5aIVCx5tnk0ntmdiinnYvw,0.673,200256.0,0.722,5aIVCx5tnk0ntmdiinnYvw,0.0,3.0,0.137,-3.495,0.0,0.0755,117.187,4.0,https://api.spotify.com/v1/tracks/5aIVCx5tnk0ntmdiinnYvw,audio_features,spotify:track:5aIVCx5tnk0ntmdiinnYvw,0.519,Pop
Strangers,Kenya Grace,9/1/2023,USWB12305048,34,233.5,750154960,139141,103879363,79,118208096,1495758,196985853,2231749390,163,378114,7477917,0,USWB12305048,5mjYQaktjmjcMKcUIcqz4s,0.701,https://api.spotify.com/v1/audio-analysis/5mjYQaktjmjcMKcUIcqz4s,0.628,172965.0,0.523,5mjYQaktjmjcMKcUIcqz4s,0.00274,11.0,0.219,-8.307,0.0,0.0946,169.982,4.0,https://api.spotify.com/v1/tracks/5mjYQaktjmjcMKcUIcqz4s,audio_features,spotify:track:5mjYQaktjmjcMKcUIcqz4s,0.416,Pop
Lose Control,Teddy Swims,6/23/2023,USWB12302315,38,224.1,775135157,88239,180617454,87,139180960,1504385,49060857,597513595,215,605841,10517831,0,USWB12302315,17phhZDn6oGtzMe56NuWvj,0.199,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,0.561,210689.0,0.604,17phhZDn6oGtzMe56NuWvj,1.9e-05,9.0,0.104,-4.409,1.0,0.0337,159.92,3.0,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,audio_features,spotify:track:17phhZDn6oGtzMe56NuWvj,0.242,Pop
Fukumean,Gunna,6/15/2023,USAT22306575,39,221.1,759998727,188142,80392612,80,94699547,1222012,311252391,3281790327,123,265291,3945184,1,USAT22306575,4rXLjWdF2ZZpXCVTfWcshS,0.119,https://api.spotify.com/v1/audio-analysis/4rXLjWdF2ZZpXCVTfWcshS,0.847,125040.0,0.622,4rXLjWdF2ZZpXCVTfWcshS,0.0,1.0,0.285,-6.747,0.0,0.0903,130.001,4.0,https://api.spotify.com/v1/tracks/4rXLjWdF2ZZpXCVTfWcshS,audio_features,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,0.22,R&B/Soul
Dance Monkey,Tones And I,5/10/2019,QZES71982312,40,214.5,3071214106,375201,64901153,71,3366447481,27240268,393814740,5861939942,549,573733,44842636,0,QZES71982312,2N8m6CYs74qQO4mjVcXO30,0.69,https://api.spotify.com/v1/audio-analysis/2N8m6CYs74qQO4mjVcXO30,0.824,209438.0,0.587,2N8m6CYs74qQO4mjVcXO30,0.000105,6.0,0.149,-6.401,0.0,0.0937,98.029,4.0,https://api.spotify.com/v1/tracks/2N8m6CYs74qQO4mjVcXO30,audio_features,spotify:track:2N8m6CYs74qQO4mjVcXO30,0.514,Pop
Birds Of A Feather,Billie Eilish,5/17/2024,USUM72401994,41,212.8,214237645,10871,202626837,92,11033725,251373,71078500,443104700,247,3400,285858,0,USUM72401994,6dOtVTDdiauQNBQEDOtlAB,0.2,https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB,0.747,210373.0,0.507,6dOtVTDdiauQNBQEDOtlAB,0.0608,2.0,0.117,-10.171,1.0,0.0358,104.978,4.0,https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB,audio_features,spotify:track:6dOtVTDdiauQNBQEDOtlAB,0.438,R&B/Soul
Im Good Blue,David Guetta,8/26/2022,UKWLG2200055,43,209.6,1658229422,262248,239957538,83,466080689,4324989,54258768,1051836430,285,935190,10973120,1,UKWLG2200055,4uUG5RXrOk84mYEfFvj3cK,0.00383,https://api.spotify.com/v1/audio-analysis/4uUG5RXrOk84mYEfFvj3cK,0.561,175238.0,0.965,4uUG5RXrOk84mYEfFvj3cK,7.07e-06,7.0,0.371,-3.673,0.0,0.0343,128.04,4.0,https://api.spotify.com/v1/tracks/4uUG5RXrOk84mYEfFvj3cK,audio_features,spotify:track:4uUG5RXrOk84mYEfFvj3cK,0.304,Pop
Daylight,David Kushner,4/14/2023,QZXDB2300005,44,207.0,1126820069,177800,85255689,82,274070101,3701289,285329503,2578518632,163,259255,8681350,0,QZXDB2300005,5OGZ2Mx4Cs6RCndDRycGBJ,0.825,https://api.spotify.com/v1/audio-analysis/5OGZ2Mx4Cs6RCndDRycGBJ,0.51,212954.0,0.432,5OGZ2Mx4Cs6RCndDRycGBJ,0.000294,5.0,0.0933,-9.492,1.0,0.0334,129.872,4.0,https://api.spotify.com/v1/tracks/5OGZ2Mx4Cs6RCndDRycGBJ,audio_features,spotify:track:5OGZ2Mx4Cs6RCndDRycGBJ,0.31,Acoustic/Folk
My Love Mine All Mine,Mitski,9/15/2023,USJ5G2335007,45,206.2,997702304,105927,92834002,86,48093111,959175,857220853,5469808282,91,36285,2682219,0,USJ5G2335007,3vkCueOmm7xQDoJ17W1Pm3,0.868,https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3,0.504,137773.0,0.308,3vkCueOmm7xQDoJ17W1Pm3,0.135,9.0,0.158,-14.958,1.0,0.0321,113.95,4.0,https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3,audio_features,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,0.121,Acoustic/Folk
Please Please Please,Sabrina Carpenter,6/6/2024,USUM72404101,46,205.7,59314441,2572,183043096,83,22374807,1026097,188200,1200000,199,2359,47115,1,USUM72404101,2tHwzyyOLoWSFqYNjeVMzj,0.257,https://api.spotify.com/v1/audio-analysis/2tHwzyyOLoWSFqYNjeVMzj,0.675,186365.0,0.586,2tHwzyyOLoWSFqYNjeVMzj,0.0,9.0,0.104,-6.086,1.0,0.0531,107.015,4.0,https://api.spotify.com/v1/tracks/2tHwzyyOLoWSFqYNjeVMzj,audio_features,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,0.621,R&B/Soul
Houdini,Dua Lipa,11/9/2023,GBAHT2301246,47,205.1,493627071,45300,87874006,80,150571504,1575378,35970610,386610043,174,564640,2389957,0,GBAHT2301246,6D8y7Bck8h11byRY88Pt2z,0.0036,https://api.spotify.com/v1/audio-analysis/6D8y7Bck8h11byRY88Pt2z,0.744,185918.0,0.789,6D8y7Bck8h11byRY88Pt2z,0.00144,9.0,0.0947,-4.876,0.0,0.059,116.985,4.0,https://api.spotify.com/v1/tracks/6D8y7Bck8h11byRY88Pt2z,audio_features,spotify:track:6D8y7Bck8h11byRY88Pt2z,0.866,Pop
If We Ever Broke Up,Mae Stephens,2/10/2023,GBUM72300969,49,203.6,304929492,43923,46133083,69,61986821,921044,390207653,5684815935,78,92638,2227494,1,GBUM72300969,6maTPqynTmrkWIralgGaoP,0.587,https://api.spotify.com/v1/audio-analysis/6maTPqynTmrkWIralgGaoP,0.898,142759.0,0.734,6maTPqynTmrkWIralgGaoP,5.18e-06,7.0,0.0912,-4.028,1.0,0.0427,115.948,4.0,https://api.spotify.com/v1/tracks/6maTPqynTmrkWIralgGaoP,audio_features,spotify:track:6maTPqynTmrkWIralgGaoP,0.94,Latin
Despacito,Luis Fonsi,1/13/2017,USUM71607007,50,203.5,1747093405,178114,49464650,74,9537135721,61799279,78304409,1143297071,179,121234,19622551,0,USUM71607007,6habFhsOp2NvshLv26DqMb,0.198,https://api.spotify.com/v1/audio-analysis/6habFhsOp2NvshLv26DqMb,0.655,229360.0,0.797,6habFhsOp2NvshLv26DqMb,0.0,2.0,0.067,-4.787,1.0,0.153,177.928,4.0,https://api.spotify.com/v1/tracks/6habFhsOp2NvshLv26DqMb,audio_features,spotify:track:6habFhsOp2NvshLv26DqMb,0.839,Pop
Calm Down With Selena Gomez,Rema,8/25/2022,NGA3B2214021,53,198.0,1391688322,163876,130963116,77,902742581,8099187,48035,2857920,316,1107265,3521951,0,NGA3B2214021,0WtM2NBVQNNJLh6scP13H8,0.382,https://api.spotify.com/v1/audio-analysis/0WtM2NBVQNNJLh6scP13H8,0.801,239318.0,0.806,0WtM2NBVQNNJLh6scP13H8,0.000669,11.0,0.114,-5.206,1.0,0.0381,106.999,4.0,https://api.spotify.com/v1/tracks/0WtM2NBVQNNJLh6scP13H8,audio_features,spotify:track:0WtM2NBVQNNJLh6scP13H8,0.802,Latin
Shape Of You,Ed Sheeran,1/6/2017,GBAHS1600463,54,195.1,3909458734,316378,148037882,80,8013997219,45770887,194420058,2320856331,465,402829,1146246,0,GBAHS1600463,7qiZfU4dY1lWllzX7mPBI3,0.581,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,0.825,233713.0,0.652,7qiZfU4dY1lWllzX7mPBI3,0.0,1.0,0.0931,-3.183,0.0,0.0802,95.977,4.0,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,audio_features,spotify:track:7qiZfU4dY1lWllzX7mPBI3,0.931,Latin
Blinding Lights,The Weeknd,11/29/2019,USUG11904206,56,194.0,4281468720,590392,165544011,83,833807130,10093211,337322563,3501177394,859,1695240,28994660,0,USUG11904206,0VjIjW4GlUZAMYd2vXMi3b,0.00143,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,0.513,200040.0,0.73,0VjIjW4GlUZAMYd2vXMi3b,9.54e-05,1.0,0.0897,-5.94,1.0,0.0598,171.001,4.0,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,audio_features,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,0.334,Rock
Creepin With The Weeknd 21 Savage,Metro Boomin,12/2/2022,USUG12208791,57,192.3,1337619917,228295,64806723,80,193982443,2023998,148085419,1268862678,152,952186,6205060,1,USUG12208791,2dHHgzDwk4BJdRwy9uXhTO,0.391,https://api.spotify.com/v1/audio-analysis/2dHHgzDwk4BJdRwy9uXhTO,0.716,221520.0,0.613,2dHHgzDwk4BJdRwy9uXhTO,0.0,1.0,0.0813,-6.018,0.0,0.0522,97.914,4.0,https://api.spotify.com/v1/tracks/2dHHgzDwk4BJdRwy9uXhTO,audio_features,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,0.157,R&B/Soul
Unholy,Sam Smith,9/22/2022,GBUM72205415,60,189.1,1556275789,210583,95974138,74,254051906,3364206,683088623,7945975878,203,718849,10192485,0,GBUM72205415,3nqQXoyQOWXiESFLlDF1hG,0.0138,https://api.spotify.com/v1/audio-analysis/3nqQXoyQOWXiESFLlDF1hG,0.719,156943.0,0.454,3nqQXoyQOWXiESFLlDF1hG,4.83e-06,2.0,0.318,-7.384,1.0,0.0707,131.007,4.0,https://api.spotify.com/v1/tracks/3nqQXoyQOWXiESFLlDF1hG,audio_features,spotify:track:3nqQXoyQOWXiESFLlDF1hG,0.224,R&B/Soul
Supernova,aespa,5/13/2024,KRA302400090,63,186.1,69729033,2483,21046278,81,111310770,1724693,61038623,393973528,40,709,63283,0,KRA302400090,5lKnZbdGCBViitE1Ce5TZh,0.00691,https://api.spotify.com/v1/audio-analysis/5lKnZbdGCBViitE1Ce5TZh,0.744,178880.0,0.747,5lKnZbdGCBViitE1Ce5TZh,2.03e-06,11.0,0.0739,-4.281,0.0,0.0824,120.077,4.0,https://api.spotify.com/v1/tracks/5lKnZbdGCBViitE1Ce5TZh,audio_features,spotify:track:5lKnZbdGCBViitE1Ce5TZh,0.368,Pop
Me Porto Bonito,Bad Bunny,5/6/2022,QM6MZ2214877,64,184.8,1811990630,173358,67603671,79,1516863120,8870768,549886060,6470937272,124,77120,3393920,1,QM6MZ2214877,6Sq7ltF9Qa7SNFBsV5Cogx,0.0901,https://api.spotify.com/v1/audio-analysis/6Sq7ltF9Qa7SNFBsV5Cogx,0.911,178567.0,0.712,6Sq7ltF9Qa7SNFBsV5Cogx,2.68e-05,1.0,0.0933,-5.105,0.0,0.0817,92.005,4.0,https://api.spotify.com/v1/tracks/6Sq7ltF9Qa7SNFBsV5Cogx,audio_features,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,0.425,Pop
Calm Down,Rema,2/10/2022,NGA3B2214004,66,180.1,584427088,182994,19203258,68,1141904909,8766235,856216952,18216656774,138,191634,22563407,0,NGA3B2214004,6hgoYQDUcPyCz7LcTUHKxa,0.376,https://api.spotify.com/v1/audio-analysis/6hgoYQDUcPyCz7LcTUHKxa,0.811,219813.0,0.781,6hgoYQDUcPyCz7LcTUHKxa,0.001,11.0,0.121,-6.333,1.0,0.0428,107.007,4.0,https://api.spotify.com/v1/tracks/6hgoYQDUcPyCz7LcTUHKxa,audio_features,spotify:track:6hgoYQDUcPyCz7LcTUHKxa,0.824,Latin
Kill Bill,SZA,12/8/2022,USRC12204584,68,177.7,1873746537,190202,99546318,82,220538045,3153793,152410048,1284413960,214,655242,4873832,0,USRC12204584,1Qrg8KqiBpW07V7PNxwwwL,0.0521,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,0.644,153947.0,0.735,1Qrg8KqiBpW07V7PNxwwwL,0.144,8.0,0.161,-5.747,1.0,0.0391,88.98,4.0,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,audio_features,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,0.418,Pop
What Was I Made For From The Motion Picture Barbie,Billie Eilish,7/13/2023,USUM72307484,69,177.6,891720245,114560,97542546,82,144741616,2761964,498822693,3998086216,168,275119,4476509,0,USUM72307484,6wf7Yu7cxBSPrRlWeSeK0Q,0.953,https://api.spotify.com/v1/audio-analysis/6wf7Yu7cxBSPrRlWeSeK0Q,0.391,222370.0,0.084,6wf7Yu7cxBSPrRlWeSeK0Q,0.0,0.0,0.0983,-17.843,1.0,0.0317,79.449,4.0,https://api.spotify.com/v1/tracks/6wf7Yu7cxBSPrRlWeSeK0Q,audio_features,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,0.111,Acoustic/Folk
Heat Waves,Glass Animals,6/29/2020,GBUM72000433,71,175.0,2996181078,486278,112416489,82,1272898075,14947520,513334446,5518429969,459,1414326,17848778,0,GBUM72000433,3USxtqRwSYz57Ewm6wWRMp,0.44,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,0.761,238805.0,0.525,3USxtqRwSYz57Ewm6wWRMp,6.7e-06,11.0,0.0921,-6.9,1.0,0.0944,80.87,4.0,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,audio_features,spotify:track:3USxtqRwSYz57Ewm6wWRMp,0.531,Indie/Alternative
