Track,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Apple Music Playlist Count,AirPlay Spins,Shazam Counts,Explicit Track,isrc,spotify_id,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,genre
Chantaje,Shakira,1/1/2016,USSD11600299,646,59.6,1006124005,96248,34837159,72,3290132416,13447183,27711123,270324375,114,20842,7404696,0,USSD11600299,6mICuAdrwEjh6Y6lroV2Kg,0.187,https://api.spotify.com/v1/audio-analysis/6mICuAdrwEjh6Y6lroV2Kg,0.852,195840.0,0.773,6mICuAdrwEjh6Y6lroV2Kg,3.05e-05,8.0,0.159,-2.921,0.0,0.0776,102.034,4.0,https://api.spotify.com/v1/tracks/6mICuAdrwEjh6Y6lroV2Kg,audio_features,spotify:track:6mICuAdrwEjh6Y6lroV2Kg,0.907,Latin
Laugh Now Cry Later,Drake,8/14/2020,USUG12001748,645,59.6,962634706,222576,40254416,69,645367972,5525087,28688641,232612189,170,1830,2255595,1,USUG12001748,2SAqBLGA283SUiwJ3xOUVI,0.244,https://api.spotify.com/v1/audio-analysis/2SAqBLGA283SUiwJ3xOUVI,0.761,261493.0,0.518,2SAqBLGA283SUiwJ3xOUVI,3.47e-05,0.0,0.107,-8.871,1.0,0.134,133.976,4.0,https://api.spotify.com/v1/tracks/2SAqBLGA283SUiwJ3xOUVI,audio_features,spotify:track:2SAqBLGA283SUiwJ3xOUVI,0.522,R&B/Soul
Psycho,Post Malone,2/23/2018,USUM71710836,650,59.5,1517935273,183827,31780671,70,1316530001,8403766,5079910,41586060,92,136508,6938949,1,USUM71710836,3swc6WTsr7rl9DqQKQA55C,0.546,https://api.spotify.com/v1/audio-analysis/3swc6WTsr7rl9DqQKQA55C,0.75,221440.0,0.56,3swc6WTsr7rl9DqQKQA55C,0.0,8.0,0.111,-8.094,1.0,0.105,140.06,4.0,https://api.spotify.com/v1/tracks/3swc6WTsr7rl9DqQKQA55C,audio_features,spotify:track:3swc6WTsr7rl9DqQKQA55C,0.459,Indie/Alternative
Casanova,Soolking,7/6/2023,FRPZ92324651,649,59.5,191488217,46669,12795882,72,205292316,1160425,12365265,143392887,35,18155,1457167,0,FRPZ92324651,30D9x5LFgL2o9xidjX2wtE,0.697,https://api.spotify.com/v1/audio-analysis/30D9x5LFgL2o9xidjX2wtE,0.798,189091.0,0.831,30D9x5LFgL2o9xidjX2wtE,5.87e-05,7.0,0.112,-4.481,0.0,0.171,132.029,4.0,https://api.spotify.com/v1/tracks/30D9x5LFgL2o9xidjX2wtE,audio_features,spotify:track:30D9x5LFgL2o9xidjX2wtE,0.721,Latin
Holanda,Jhayco,7/28/2023,USUM72310520,651,59.5,320174752,51073,31619869,73,104188558,465006,136034375,1510621389,48,29430,597203,1,USUM72310520,6irysuQyZWd7Bjj7ePiOs2,0.277,https://api.spotify.com/v1/audio-analysis/6irysuQyZWd7Bjj7ePiOs2,0.831,231693.0,0.759,6irysuQyZWd7Bjj7ePiOs2,0.0,1.0,0.125,-3.627,0.0,0.0502,107.961,4.0,https://api.spotify.com/v1/tracks/6irysuQyZWd7Bjj7ePiOs2,audio_features,spotify:track:6irysuQyZWd7Bjj7ePiOs2,0.244,Pop
Faded,Alan Walker,12/4/2015,NOG841549010,653,59.4,1943842010,221874,62851374,75,439888055,5232880,269640001,4682512450,103,107625,26821494,0,NOG841549010,698ItKASDavgwZ3WjaWjtz,0.0281,https://api.spotify.com/v1/audio-analysis/698ItKASDavgwZ3WjaWjtz,0.468,212107.0,0.627,698ItKASDavgwZ3WjaWjtz,7.97e-06,6.0,0.11,-5.085,1.0,0.0476,179.642,4.0,https://api.spotify.com/v1/tracks/698ItKASDavgwZ3WjaWjtz,audio_features,spotify:track:698ItKASDavgwZ3WjaWjtz,0.159,Pop
Cough,Kizz Daniel,10/13/2022,USUYG1448153,655,59.3,86103527,24888,4522560,62,211940922,1076420,71261169,1387044831,20,14428,3663496,1,USUYG1448153,3nT2nrfb3FMLg03W4mPaBl,0.169,https://api.spotify.com/v1/audio-analysis/3nT2nrfb3FMLg03W4mPaBl,0.882,176196.0,0.686,3nT2nrfb3FMLg03W4mPaBl,0.216,5.0,0.0852,-6.5,0.0,0.0496,109.987,4.0,https://api.spotify.com/v1/tracks/3nT2nrfb3FMLg03W4mPaBl,audio_features,spotify:track:3nT2nrfb3FMLg03W4mPaBl,0.916,Latin
Afraid To Feel,LF SYSTEM,5/2/2022,GBAHT2200492,656,59.3,355203657,146218,60783514,74,46743730,381567,142211766,1767047572,112,113950,3424307,0,GBAHT2200492,40SBS57su9xLiE1WqkXOVr,0.0166,https://api.spotify.com/v1/audio-analysis/40SBS57su9xLiE1WqkXOVr,0.578,177525.0,0.912,40SBS57su9xLiE1WqkXOVr,0.00362,1.0,0.273,-3.929,1.0,0.114,127.87,4.0,https://api.spotify.com/v1/tracks/40SBS57su9xLiE1WqkXOVr,audio_features,spotify:track:40SBS57su9xLiE1WqkXOVr,0.68,Pop
Wow,Post Malone,12/24/2018,USUM71822626,657,59.3,1680612367,201840,56914511,74,630890897,5912252,51435673,477810652,137,198344,6704282,1,USUM71822626,7xQAfvXzm3AkraOtGPWIZg,0.137,https://api.spotify.com/v1/audio-analysis/7xQAfvXzm3AkraOtGPWIZg,0.829,149547.0,0.538,7xQAfvXzm3AkraOtGPWIZg,1.88e-06,11.0,0.103,-7.359,0.0,0.212,99.952,4.0,https://api.spotify.com/v1/tracks/7xQAfvXzm3AkraOtGPWIZg,audio_features,spotify:track:7xQAfvXzm3AkraOtGPWIZg,0.389,Pop
Radioactive,Imagine Dragons,1/1/2012,USUM71201074,654,59.3,1836362703,236427,68978853,75,1838544809,12824587,56611247,640674307,111,166884,16364,0,USUM71201074,62yJjFtgkhUrXktIoSjgP2,0.0999,https://api.spotify.com/v1/audio-analysis/62yJjFtgkhUrXktIoSjgP2,0.448,186813.0,0.784,62yJjFtgkhUrXktIoSjgP2,0.000108,9.0,0.668,-3.686,1.0,0.0625,136.239,4.0,https://api.spotify.com/v1/tracks/62yJjFtgkhUrXktIoSjgP2,audio_features,spotify:track:62yJjFtgkhUrXktIoSjgP2,0.237,Rock
