Track,Artist,Genre,Release Date,All Time Rank,Spotify Streams,Spotify Popularity,YouTube Views,TikTok Views,AirPlay Spins,Shazam Counts,Explicit Track,Isrc,Spotify_id,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_signature,Valence
Die,Gazo,R&B/Soul,7/1/2022,3393,168211673,62,112307349,687903274,10122,874725,1,FR9W12215357,3D29kjUyWxsT3jUUTtARVQ,0.229,0.695,240413.0,0.63,0.0,8.0,0.118,-7.16,0.0,0.035,130.968,4.0,0.55
Aullando,Wisin & Yandel,Latin,12/14/2018,3403,407025386,62,742853552,16922902,8549,1862363,0,USSD11800386,7BuHdm4lQqcyG3qTwdkxus,0.184,0.8,226200.0,0.74,0.0,10.0,0.0558,-4.52,0.0,0.0479,90.035,4.0,0.775
El Incomprendido,Farruko,Pop,9/30/2021,3412,186233910,55,114487705,95822904,51359,2989432,1,USSD12100701,493Rk3iS7rs8uPfpnfm95u,0.113,0.754,267547.0,0.841,0.0,11.0,0.466,-3.19,1.0,0.135,128.019,4.0,0.541
23,Mike WiLL Made-It,R&B/Soul,1/1/2013,3409,339514083,63,1077541932,164169789,5802,4621402,1,USUM71312049,20FZrLl9zSbO9b3DhaqO6M,0.000362,0.859,252520.0,0.599,8.2e-06,9.0,0.13,-5.254,1.0,0.0614,140.005,4.0,0.319
Guay,Ozuna,Latin,4/18/2024,3392,25134764,73,7120990,3319,2941,104141,0,QM6MZ2440135,1S3SAFqLBWk3HaR5UyXp43,0.0881,0.88,210788.0,0.766,1.79e-05,1.0,0.382,-2.906,0.0,0.0505,96.037,4.0,0.594
Swang,Rae Sremmurd,R&B/Soul,8/12/2016,3405,658051344,66,502542395,172756577,4896,3394835,1,USUM71603303,6mapJIPnQ23RTAevUoE0DL,0.2,0.681,208120.0,0.314,9.82e-06,8.0,0.1,-9.319,1.0,0.0581,139.992,4.0,0.166
Broke Boys,Drake,Pop,11/4/2022,3399,143220845,61,17892665,26577093,57,333934,1,USUG12208608,45pUWUeEWGoSdH6UF162G8,0.0113,0.644,225439.0,0.533,4.89e-05,2.0,0.221,-7.481,1.0,0.248,120.017,4.0,0.113
What They Want,Russ,Hip-Hop/Rap,7/28/2016,3404,569767392,68,468513022,1026583434,715,3181996,1,USSM11606200,3pndPhlQWjuSoXhcIIdBjv,0.484,0.71,165853.0,0.404,0.0,1.0,0.0953,-10.04,0.0,0.379,139.553,4.0,0.398
Take Care,Drake,Hip-Hop/Rap,11/15/2011,3431,622498643,70,454602464,82945578,180,5506262,1,USCM51100547,124NFj84ppZ5pAxTuVQYCQ,0.0267,0.629,277387.0,0.515,1.22e-05,0.0,0.0888,-10.358,0.0,0.265,121.845,4.0,0.299
Smack That Dirty,Akon,Latin,1/1/2006,3422,1023825031,80,1251716030,1957205,28439,5885853,1,USUM70609036,2kQuhkFX7uSVepCD3h29g5,0.323,0.939,212360.0,0.741,0.0,5.0,0.107,-5.171,0.0,0.0471,118.978,4.0,0.925
Ramen Oj,Joyner Lucas,Indie/Alternative,4/30/2021,3423,260117606,63,104323081,12058693,1030,1320861,1,QZES92173120,4TIqzdAssasqx3DAe6cG9J,0.492,0.597,218448.0,0.571,0.0,1.0,0.093,-6.205,0.0,0.293,106.196,3.0,0.165
Arhbo Music From The Fifa World Cup Qatar 2022 Official Soundtrack,Ozuna,Pop,8/19/2022,3427,49549021,33,119899690,3499011841,10656,1090933,0,QZNMV2235460,4lojDT8NBK7lGFMfPVrUZk,0.12,0.676,219832.0,0.89,0.00939,11.0,0.337,-3.343,1.0,0.0349,119.017,4.0,0.551
Cool With You,NewJeans,Pop,7/21/2023,3425,165916276,70,52705822,92644726,4205,139260,0,USA2P2330072,02wk5BttM0QL38ERjLPQJB,0.653,0.752,147880.0,0.65,0.00136,5.0,0.105,-6.683,0.0,0.12,134.993,4.0,0.532
Shameless,Camila Cabello,Pop,9/5/2019,3419,524463179,76,297234963,1255373850,3430,4462173,0,USSM11905431,2ogKhhoMClkFXek7ZgxAhN,0.0197,0.377,219742.0,0.651,5.31e-05,4.0,0.174,-5.437,0.0,0.0589,129.607,4.0,0.0851
New Freezer,Rich The Kid,Hip-Hop/Rap,9/25/2017,3424,317302250,54,113727264,286048019,7340,2007712,1,USUM71708973,2EgB4n6XyBsuNUbuarr4eG,0.0399,0.885,191938.0,0.698,0.0,0.0,0.195,-9.101,1.0,0.364,140.07,4.0,0.577
Dembow,Danny Ocean,Pop,12/8/2017,3441,579189526,65,828853696,158504854,5406,1619550,0,USWL11700269,30LBoQSk8gjcN0hWCWtdbF,0.0807,0.802,215083.0,0.744,0.0,6.0,0.0917,-5.968,1.0,0.078,99.983,4.0,0.45
Dembow,Danny Ocean,Pop,12/8/2017,3441,579189526,65,828853696,158504854,5406,1619550,0,USWL11700269,30LBoQSk8gjcN0hWCWtdbF,0.0807,0.802,215083.0,0.744,0.0,6.0,0.0917,-5.968,1.0,0.078,99.983,4.0,0.45
Dembow,Danny Ocean,Pop,12/8/2017,3441,579189526,65,828853696,158504854,5406,1619550,0,USWL11700269,30LBoQSk8gjcN0hWCWtdbF,0.0807,0.802,215083.0,0.744,0.0,6.0,0.0917,-5.968,1.0,0.078,99.983,4.0,0.45
Dembow,Danny Ocean,Pop,12/8/2017,3441,579189526,65,828853696,158504854,5406,1619550,0,USWL11700269,30LBoQSk8gjcN0hWCWtdbF,0.0807,0.802,215083.0,0.744,0.0,6.0,0.0917,-5.968,1.0,0.078,99.983,4.0,0.45
Dembow,Danny Ocean,Pop,12/8/2017,3441,579189526,65,828853696,158504854,5406,1619550,0,USWL11700269,30LBoQSk8gjcN0hWCWtdbF,0.0807,0.802,215083.0,0.744,0.0,6.0,0.0917,-5.968,1.0,0.078,99.983,4.0,0.45
Dembow,Danny Ocean,Pop,12/8/2017,3441,579189526,65,828853696,158504854,5406,1619550,0,USWL11700269,30LBoQSk8gjcN0hWCWtdbF,0.0807,0.802,215083.0,0.744,0.0,6.0,0.0917,-5.968,1.0,0.078,99.983,4.0,0.45
Dembow,Danny Ocean,Pop,12/8/2017,3441,579189526,65,828853696,158504854,5406,1619550,0,USWL11700269,30LBoQSk8gjcN0hWCWtdbF,0.0807,0.802,215083.0,0.744,0.0,6.0,0.0917,-5.968,1.0,0.078,99.983,4.0,0.45
Dembow,Danny Ocean,Pop,12/8/2017,3441,579189526,65,828853696,158504854,5406,1619550,0,USWL11700269,30LBoQSk8gjcN0hWCWtdbF,0.0807,0.802,215083.0,0.744,0.0,6.0,0.0917,-5.968,1.0,0.078,99.983,4.0,0.45
Fast,Juice WRLD,Indie/Alternative,3/8/2019,3450,392674468,62,119252275,39728302,2,780444,1,USUG11900385,5WQrDB34o6M8V0jxNiX6RU,0.426,0.623,208518.0,0.607,0.0,1.0,0.105,-5.937,0.0,0.0435,84.982,4.0,0.263
Come And See Me,PARTYNEXTDOOR,R&B/Soul,3/23/2016,3436,609032900,66,176053242,38686929,7568,2529532,1,USWB11600360,6cEguiQecbXrFlsnMi2ysr,0.0511,0.77,235477.0,0.347,2.57e-06,2.0,0.087,-10.265,1.0,0.0623,84.957,4.0,0.0583
Myself,Bazzi,Indie/Alternative,4/12/2018,3443,279105227,59,138981651,4596936089,625,2446779,0,USAT21801524,5YLHLxoZsodDWjqSgjhBf3,0.465,0.745,167553.0,0.561,1.12e-06,9.0,0.0338,-5.513,0.0,0.072,195.918,4.0,0.902
Lifes A Mess,Juice WRLD,R&B/Soul,7/6/2020,3442,319737440,61,108796209,11172071,99,375289,1,USUG12002091,5wWAwzGp2OaaoIkwcz6wZs,0.337,0.63,202193.0,0.446,0.0,1.0,0.166,-8.9,1.0,0.0351,143.078,4.0,0.177
Have Mercy,ChlÃÂ¯ÃÂ¿ÃÂ½,R&B/Soul,9/10/2021,3445,202781631,60,1271445,2410282562,119001,1690643,1,USSM12105357,5SixeLvPsYpk7qq9lo5xYg,0.297,0.903,148779.0,0.535,0.0,9.0,0.345,-6.434,1.0,0.0742,130.022,4.0,0.508
Bad Decisions With Bts Snoop Dogg,benny blanco,Latin,8/5/2022,3449,259730016,62,102357127,597069529,86708,858779,0,USUM72210832,0xzI1KAr0Yd9tv8jlIk3sn,0.0185,0.762,172714.0,0.861,0.0,0.0,0.264,-3.296,1.0,0.0955,120.048,4.0,0.955
Yebbas Hear,Drake,Acoustic/Folk,9/3/2021,3448,349849639,71,59701089,352584596,12,1419180,1,USUG12104407,1PDP7mLiAMwhfmgIwzhOm2,0.967,0.476,133763.0,0.161,0.0381,8.0,0.109,-11.665,0.0,0.0407,119.614,4.0,0.0908
El Avioncito,Giblack,Latin,10/28/2021,3447,11569095,41,134929794,5210740180,1816,226882,0,ESA011561085,7HOlapPvYVls2Ei0L83eLn,0.127,0.887,208040.0,0.769,4.41e-06,4.0,0.32,-4.751,1.0,0.204,97.991,4.0,0.928
Handle On You,Parker McCollum,Pop,8/5/2022,3439,103858433,63,23571548,32959012,203279,481957,0,USUM72211050,4reXo2zg1uhEIpUAacDb9C,0.00441,0.591,219968.0,0.928,0.0,6.0,0.291,-3.925,1.0,0.0316,105.025,4.0,0.619
Tunnel Vision,Kodak Black,Pop,2/17/2017,3477,654828389,68,97450066,86649600,7257,3010996,1,USAT21700379,4Q3N4Ct4zCuIHuZ65E3BD4,0.0576,0.497,268187.0,0.489,9.91e-05,11.0,0.122,-7.724,0.0,0.294,171.853,4.0,0.231
White Tee With No1Noah,Summer Walker,Acoustic/Folk,7/10/2020,3474,277094824,63,118824965,537618525,868,3474234,1,USUM72013570,5m0eMnsWwzgGsUxe1mhFYR,0.744,0.791,211373.0,0.366,7.24e-06,1.0,0.106,-8.337,1.0,0.0966,124.878,4.0,0.335
Too Easy,Gunna,R&B/Soul,9/24/2021,3452,133039977,54,21842375,241202185,19365,216542,1,QMCE32100757,1t55dGrBkLvKDzNa9QJ3LV,0.027,0.798,138453.0,0.572,0.0,1.0,0.099,-6.627,1.0,0.17,155.933,4.0,0.293
Walking On A Dream,Empire Of The Sun,Latin,1/1/2008,3476,923637058,74,326484288,1346152082,62766,9554869,0,AUEI10800039,5r5cp9IpziiIsR6b93vcnQ,0.257,0.871,198440.0,0.701,7.52e-06,5.0,0.0589,-5.594,0.0,0.0458,126.975,4.0,0.716
Take Two,BTS,R&B/Soul,6/9/2023,3461,259288333,69,40948018,503776050,10787,320367,0,USA2P2323050,5IAESfJjmOYu7cHyX557kz,0.0268,0.617,229953.0,0.589,0.0,7.0,0.378,-5.978,1.0,0.0345,92.991,4.0,0.566
You Know You Like It,DJ Snake,Rock,10/14/2014,3465,506083686,65,191257884,53859932,20173,14034296,0,USUM71414293,57kR5SniQIbsbVoIjjOUDa,0.0141,0.407,247267.0,0.725,2.46e-06,5.0,0.306,-5.346,0.0,0.188,196.093,4.0,0.247
