Track,Artist,Genre,Release Date,All Time Rank,Spotify Streams,Spotify Popularity,YouTube Views,TikTok Views,AirPlay Spins,Shazam Counts,Explicit Track,Isrc,Spotify_id,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_signature,Valence
Million Dollar Baby,Tommy Richman,Latin,4/26/2024,1,390470936,92,84274754,5332281936,40975,2669262,0,QM24S2402528,5AJ9hqTS2wcFQCELCFRO7A,0.0973,0.852,155152.0,0.697,0.00037,1.0,0.0678,-5.52,0.0,0.0439,138.029,4.0,0.919
Not Like Us,Kendrick Lamar,R&B/Soul,5/4/2024,2,323703884,92,116347040,208339025,40778,1118279,1,USUG12400910,6AI3ezQ4o3HUoP6Dhudph3,0.0107,0.898,274192.0,0.472,0.0,1.0,0.141,-7.001,1.0,0.0776,101.061,4.0,0.214
I Like The Way You Kiss Me,Artemas,Pop,3/19/2024,3,601309283,92,122599116,3369120610,74333,5285340,0,QZJ842400387,2GxrNKugF82CnoRFbQfzPf,0.000938,0.599,142515.0,0.946,0.0106,11.0,0.0826,-4.263,1.0,0.0447,151.647,4.0,0.747
Flowers,Miley Cyrus,Pop,1/12/2023,4,2031280633,85,1096100899,14603725994,1474799,11822942,0,USSM12209777,7DSAEUvxU8FajXtRloy8M0,0.0584,0.706,200600.0,0.691,6.99e-05,0.0,0.0232,-4.775,1.0,0.0633,118.048,4.0,0.632
Lovin On Me,Jack Harlow,Latin,11/10/2023,6,670665438,83,131148091,2938686633,522042,4517131,1,USAT22311371,4xhsWYTOGcal8zt0J161CU,0.0026,0.943,138411.0,0.558,2.19e-06,2.0,0.0937,-4.911,1.0,0.0568,104.983,4.0,0.606
Beautiful Things,Benson Boone,Pop,1/18/2024,7,900158751,86,308723145,534915313,383478,9990302,0,USWB12307016,3xkHsmpQCBMytMJNiDf3Ii,0.151,0.472,180304.0,0.471,0.0,10.0,0.14,-5.692,1.0,0.0603,105.029,3.0,0.219
Gata Only,FloyyMenor,Indie/Alternative,2/2/2024,8,675079153,92,228382568,3804584163,17221,6063523,1,QZL382406049,6XjDF6nds4DE2BBbagZol6,0.446,0.791,222000.0,0.499,2.41e-05,8.0,0.0899,-8.472,0.0,0.0509,99.986,4.0,0.669
Band4Band,Central Cee,Latin,5/23/2024,10,90676573,86,32735244,974656200,3823,666302,1,USSM12404354,70TGNwQDvF5b6GQWlYPr8p,0.346,0.884,140720.0,0.75,0.0,11.0,0.124,-5.236,1.0,0.198,140.114,4.0,0.88
I Had Some Help,Post Malone,Pop,5/10/2024,11,250080413,91,32229063,2100000,62312,963413,1,USUM72404990,7221xIgOnuakPdLqT0F3nP,0.00757,0.638,178206.0,0.855,0.0,7.0,0.245,-4.86,1.0,0.0264,127.986,4.0,0.731
Lunch,Billie Eilish,R&B/Soul,5/17/2024,13,221636195,92,40022524,360017000,41344,450344,0,USUM72401991,629DixmZGHc7ILtEntuiWE,0.0452,0.893,179587.0,0.4,0.0823,11.0,0.0632,-7.981,0.0,0.0643,124.987,4.0,0.945
Bathroom Floor,Kids With Buns,R&B/Soul,10/7/2022,15,297185,12,6736502312,22234,1057,3288,0,NLC242100307,5JvEHdLTVmD6I9a3EMoOjL,0.0603,0.737,210444.0,0.583,0.0359,0.0,0.164,-9.703,0.0,0.0358,122.958,4.0,0.382
Lala,Myke Towers,Pop,3/22/2023,16,925655569,79,934302031,7499234052,92231,2765808,1,USWL12300002,7ABLbnD53cQK00mhcaOUVG,0.0739,0.708,197920.0,0.737,0.00162,1.0,0.0955,-4.045,1.0,0.0436,91.986,4.0,0.607
Fortnight,Taylor Swift,Indie/Alternative,4/18/2024,17,395433400,89,104673836,207317000,129968,1210029,0,USUG12401028,2OzhQlSqBEmt7hmkYxfT6m,0.502,0.504,228965.0,0.386,1.53e-05,11.0,0.0961,-10.976,1.0,0.0308,192.004,4.0,0.281
Greedy,Tate McRae,Pop,9/14/2023,18,1258569694,87,141646818,5456156211,667329,6973652,1,USRC12301932,3rUGC1vUpkDG9CZFHMur1t,0.261,0.749,131872.0,0.729,0.0,6.0,0.113,-3.19,0.0,0.0321,111.004,1.0,0.816
Blue,Billie Eilish,Indie/Alternative,5/17/2024,19,91272461,86,16038053,1225345800,181,257661,0,USUM72401996,2prqm9sPLj10B4Wg0wE5x9,0.29,0.349,343120.0,0.337,0.172,7.0,0.139,-10.671,1.0,0.0407,142.01,4.0,0.0365
As It Was,Harry Styles,Pop,3/31/2022,20,3301814535,87,800899315,15405881843,1777811,14967379,0,USSM12200612,4Dvkj6JhhA12EX05fT7y2e,0.342,0.52,167303.0,0.731,0.00101,6.0,0.311,-5.338,0.0,0.0557,173.93,4.0,0.662
Paint The Town Red,Doja Cat,Latin,8/4/2023,21,1065399331,78,240970670,7095564106,400899,7559816,1,USRC12300907,2IGMVunIBsBLtEQyoI1Mu7,0.27,0.87,230000.0,0.54,0.0,5.0,0.09,-8.6,1.0,0.17,99.97,4.0,0.73
Espresso,Sabrina Carpenter,Pop,4/12/2024,22,547882871,95,107550212,1379499000,37208,1373085,1,USUM72403305,2qSkIjg1o9h3YT9RAgYN75,0.13,0.7,175000.0,0.77,0.0,0.0,0.2,-5.49,1.0,0.03,103.98,4.0,0.66
Texas Hold Em,BeyoncÃÂ¯ÃÂ¿,Pop,2/10/2024,24,426700979,86,35724356,6518604175,309497,2100708,1,USSM12401302,0Z7nGFVCLfixWctgePsRk9,0.582,0.727,233457.0,0.711,0.0,2.0,0.158,-6.549,1.0,0.078,110.012,4.0,0.375
Baby Shark,Pinkfong,Latin,12/1/2015,28,720822868,71,16322756555,6577639193,284,2064420,0,KRE671700001,5ygDXis42ncn6kYG14lEVG,0.259,0.829,80927.0,0.886,0.0,8.0,0.0559,-1.746,1.0,0.112,115.056,4.0,0.777
Sheesh,BABYMONSTER,Pop,4/1/2024,32,124893397,82,359896095,390081328,2188,191867,0,KRA402400016,1njlnn8ZKHI77Pe9szIONR,0.113,0.774,170357.0,0.728,0.0,2.0,0.0473,-5.079,1.0,0.169,140.041,4.0,0.461
Water,Tyla,Pop,7/28/2023,33,670376179,83,265180930,3932956380,486952,6447136,0,USSM12305126,5aIVCx5tnk0ntmdiinnYvw,0.0856,0.673,200256.0,0.722,0.0,3.0,0.137,-3.495,0.0,0.0755,117.187,4.0,0.519
Strangers,Kenya Grace,Pop,9/1/2023,34,750154960,79,118208096,2231749390,378114,7477917,0,USWB12305048,5mjYQaktjmjcMKcUIcqz4s,0.701,0.628,172965.0,0.523,0.00274,11.0,0.219,-8.307,0.0,0.0946,169.982,4.0,0.416
Lose Control,Teddy Swims,Pop,6/23/2023,38,775135157,87,139180960,597513595,605841,10517831,0,USWB12302315,17phhZDn6oGtzMe56NuWvj,0.199,0.561,210689.0,0.604,1.9e-05,9.0,0.104,-4.409,1.0,0.0337,159.92,3.0,0.242
Fukumean,Gunna,R&B/Soul,6/15/2023,39,759998727,80,94699547,3281790327,265291,3945184,1,USAT22306575,4rXLjWdF2ZZpXCVTfWcshS,0.119,0.847,125040.0,0.622,0.0,1.0,0.285,-6.747,0.0,0.0903,130.001,4.0,0.22
Dance Monkey,Tones And I,Pop,5/10/2019,40,3071214106,71,3366447481,5861939942,573733,44842636,0,QZES71982312,2N8m6CYs74qQO4mjVcXO30,0.69,0.824,209438.0,0.587,0.000105,6.0,0.149,-6.401,0.0,0.0937,98.029,4.0,0.514
Birds Of A Feather,Billie Eilish,R&B/Soul,5/17/2024,41,214237645,92,11033725,443104700,3400,285858,0,USUM72401994,6dOtVTDdiauQNBQEDOtlAB,0.2,0.747,210373.0,0.507,0.0608,2.0,0.117,-10.171,1.0,0.0358,104.978,4.0,0.438
Im Good Blue,David Guetta,Pop,8/26/2022,43,1658229422,83,466080689,1051836430,935190,10973120,1,UKWLG2200055,4uUG5RXrOk84mYEfFvj3cK,0.00383,0.561,175238.0,0.965,7.07e-06,7.0,0.371,-3.673,0.0,0.0343,128.04,4.0,0.304
Daylight,David Kushner,Acoustic/Folk,4/14/2023,44,1126820069,82,274070101,2578518632,259255,8681350,0,QZXDB2300005,5OGZ2Mx4Cs6RCndDRycGBJ,0.825,0.51,212954.0,0.432,0.000294,5.0,0.0933,-9.492,1.0,0.0334,129.872,4.0,0.31
My Love Mine All Mine,Mitski,Acoustic/Folk,9/15/2023,45,997702304,86,48093111,5469808282,36285,2682219,0,USJ5G2335007,3vkCueOmm7xQDoJ17W1Pm3,0.868,0.504,137773.0,0.308,0.135,9.0,0.158,-14.958,1.0,0.0321,113.95,4.0,0.121
Please Please Please,Sabrina Carpenter,R&B/Soul,6/6/2024,46,59314441,83,22374807,1200000,2359,47115,1,USUM72404101,2tHwzyyOLoWSFqYNjeVMzj,0.257,0.675,186365.0,0.586,0.0,9.0,0.104,-6.086,1.0,0.0531,107.015,4.0,0.621
Houdini,Dua Lipa,Pop,11/9/2023,47,493627071,80,150571504,386610043,564640,2389957,0,GBAHT2301246,6D8y7Bck8h11byRY88Pt2z,0.0036,0.744,185918.0,0.789,0.00144,9.0,0.0947,-4.876,0.0,0.059,116.985,4.0,0.866
If We Ever Broke Up,Mae Stephens,Latin,2/10/2023,49,304929492,69,61986821,5684815935,92638,2227494,1,GBUM72300969,6maTPqynTmrkWIralgGaoP,0.587,0.898,142759.0,0.734,5.18e-06,7.0,0.0912,-4.028,1.0,0.0427,115.948,4.0,0.94
Despacito,Luis Fonsi,Pop,1/13/2017,50,1747093405,74,9537135721,1143297071,121234,19622551,0,USUM71607007,6habFhsOp2NvshLv26DqMb,0.198,0.655,229360.0,0.797,0.0,2.0,0.067,-4.787,1.0,0.153,177.928,4.0,0.839
Calm Down With Selena Gomez,Rema,Latin,8/25/2022,53,1391688322,77,902742581,2857920,1107265,3521951,0,NGA3B2214021,0WtM2NBVQNNJLh6scP13H8,0.382,0.801,239318.0,0.806,0.000669,11.0,0.114,-5.206,1.0,0.0381,106.999,4.0,0.802
Shape Of You,Ed Sheeran,Latin,1/6/2017,54,3909458734,80,8013997219,2320856331,402829,1146246,0,GBAHS1600463,7qiZfU4dY1lWllzX7mPBI3,0.581,0.825,233713.0,0.652,0.0,1.0,0.0931,-3.183,0.0,0.0802,95.977,4.0,0.931
Blinding Lights,The Weeknd,Rock,11/29/2019,56,4281468720,83,833807130,3501177394,1695240,28994660,0,USUG11904206,0VjIjW4GlUZAMYd2vXMi3b,0.00143,0.513,200040.0,0.73,9.54e-05,1.0,0.0897,-5.94,1.0,0.0598,171.001,4.0,0.334
Creepin With The Weeknd 21 Savage,Metro Boomin,R&B/Soul,12/2/2022,57,1337619917,80,193982443,1268862678,952186,6205060,1,USUG12208791,2dHHgzDwk4BJdRwy9uXhTO,0.391,0.716,221520.0,0.613,0.0,1.0,0.0813,-6.018,0.0,0.0522,97.914,4.0,0.157
Unholy,Sam Smith,R&B/Soul,9/22/2022,60,1556275789,74,254051906,7945975878,718849,10192485,0,GBUM72205415,3nqQXoyQOWXiESFLlDF1hG,0.0138,0.719,156943.0,0.454,4.83e-06,2.0,0.318,-7.384,1.0,0.0707,131.007,4.0,0.224
Supernova,aespa,Pop,5/13/2024,63,69729033,81,111310770,393973528,709,63283,0,KRA302400090,5lKnZbdGCBViitE1Ce5TZh,0.00691,0.744,178880.0,0.747,2.03e-06,11.0,0.0739,-4.281,0.0,0.0824,120.077,4.0,0.368
Me Porto Bonito,Bad Bunny,Pop,5/6/2022,64,1811990630,79,1516863120,6470937272,77120,3393920,1,QM6MZ2214877,6Sq7ltF9Qa7SNFBsV5Cogx,0.0901,0.911,178567.0,0.712,2.68e-05,1.0,0.0933,-5.105,0.0,0.0817,92.005,4.0,0.425
Calm Down,Rema,Latin,2/10/2022,66,584427088,68,1141904909,18216656774,191634,22563407,0,NGA3B2214004,6hgoYQDUcPyCz7LcTUHKxa,0.376,0.811,219813.0,0.781,0.001,11.0,0.121,-6.333,1.0,0.0428,107.007,4.0,0.824
Kill Bill,SZA,Pop,12/8/2022,68,1873746537,82,220538045,1284413960,655242,4873832,0,USRC12204584,1Qrg8KqiBpW07V7PNxwwwL,0.0521,0.644,153947.0,0.735,0.144,8.0,0.161,-5.747,1.0,0.0391,88.98,4.0,0.418
What Was I Made For From The Motion Picture Barbie,Billie Eilish,Acoustic/Folk,7/13/2023,69,891720245,82,144741616,3998086216,275119,4476509,0,USUM72307484,6wf7Yu7cxBSPrRlWeSeK0Q,0.953,0.391,222370.0,0.084,0.0,0.0,0.0983,-17.843,1.0,0.0317,79.449,4.0,0.111
Heat Waves,Glass Animals,Indie/Alternative,6/29/2020,71,2996181078,82,1272898075,5518429969,1414326,17848778,0,GBUM72000433,3USxtqRwSYz57Ewm6wWRMp,0.44,0.761,238805.0,0.525,6.7e-06,11.0,0.0921,-6.9,1.0,0.0944,80.87,4.0,0.531
Shakira Bzrp Music Sessions Vol 53,Bizarrap,Pop,1/11/2023,73,946941510,74,776436101,11936401096,165670,2237762,0,UYB282301031,4nrPB8O7Y7wsOCJdgXkthe,0.281,0.842,214945.0,0.745,2.61e-05,2.0,0.118,-4.231,0.0,0.0399,122.06,4.0,0.53
Old Town Road,Lil Nas X,R&B/Soul,3/14/2019,75,1010494713,67,3203314695,1981431049,49780,8856633,0,USSM11901941,0F7FA14euOIX8KcbEturGH,0.0578,0.907,113000.0,0.53,2.23e-06,1.0,0.101,-6.112,1.0,0.127,135.998,4.0,0.507
Un X100To,Grupo Frontera,Pop,4/17/2023,76,1008495696,75,878892413,1669065906,73481,2283747,0,QM6N22311285,6pD0ufEQq0xdHSsRbg9LBK,0.228,0.569,194563.0,0.724,0.0,6.0,0.27,-4.076,0.0,0.0474,83.118,4.0,0.562
Sprinter,Dave,Latin,6/1/2023,78,692512930,78,219666692,1254944697,42082,3093667,1,GBUM72305159,6NYbDTmstd7JSUWl2hVBqR,0.263,0.918,229133.0,0.681,0.0,1.0,0.0615,-4.705,1.0,0.201,139.057,4.0,0.705
Tqg,KAROL G,Pop,2/23/2023,80,1024381758,78,1102289596,248168852,149584,3488226,1,USUM72222541,0DWdj2oZMBFSzRsi2Cvfzf,0.619,0.587,197933.0,0.647,0.0,4.0,0.106,-3.385,0.0,0.327,90.123,4.0,0.686
Pepas,Farruko,Pop,6/24/2021,82,1500499584,74,1431591689,4067248819,240677,17210946,1,USSD12100307,5fwSHlTEWpluwOM0Sxnh5k,0.00776,0.762,287120.0,0.766,6.98e-05,7.0,0.128,-3.955,1.0,0.0343,130.001,4.0,0.442
Ella Baila Sola,Eslabon Armado,Pop,3/16/2023,84,1215336974,74,701880622,15373104,40153,3435177,0,USE7D2300007,3dnP0JxCgygwQH9Gm7q7nb,0.483,0.668,165671.0,0.758,1.89e-05,5.0,0.0837,-5.176,0.0,0.0332,147.989,3.0,0.834
Dance The Night From Barbie The Album,Dua Lipa,Pop,5/25/2023,85,860026452,80,173044031,1227837850,759185,3199636,0,USAT22305457,1vYXt7VSjH9JIM5oRRo7vA,0.0207,0.671,176579.0,0.845,0.0,11.0,0.329,-4.93,0.0,0.048,110.056,4.0,0.775
La Bebe Remix,Yng Lvcas,Hip-Hop/Rap,3/17/2023,86,1032225805,79,920878032,2416141351,57941,2635577,1,MXF152300159,2UW7JaomAMuX9pZrjVpHAU,0.213,0.812,234353.0,0.479,1.21e-06,2.0,0.0756,-5.678,0.0,0.333,169.922,4.0,0.559
Easy On Me,Adele,Indie/Alternative,10/14/2021,88,1720918065,73,1194846205,7860224413,774277,7569155,0,USSM12105970,46IZ0fSY2mpAiktS3KOqds,0.578,0.604,224695.0,0.366,0.0,5.0,0.133,-7.519,1.0,0.0282,141.981,4.0,0.13
Tit Me Pregu,Bad Bunny,Hip-Hop/Rap,5/6/2022,89,1514239759,77,1366181141,5249863696,145640,5133847,1,QM6MZ2214878,1IHWl5LamUGEuP4ozKQSXZ,0.0993,0.65,243717.0,0.715,0.000291,5.0,0.126,-5.198,0.0,0.253,106.672,4.0,0.187
All My Life,Lil Durk,Hip-Hop/Rap,5/12/2023,90,333202114,68,203487345,748253884,346411,4207535,1,USQX92302957,6HgWWaMu31KdOpEG5l28BG,0.15,0.83,223000.0,0.44,0.0,3.0,0.1,-8.21,1.0,0.33,143.03,4.0,0.69
Antihero,Taylor Swift,R&B/Soul,10/21/2022,91,1563224246,80,203259285,3864505972,1034319,4703179,0,USUG12205736,0V3wPSX9ygBnCm8psDIegu,0.121,0.633,200690.0,0.648,2.62e-06,4.0,0.161,-6.645,1.0,0.062,96.888,4.0,0.49
Quevedo Bzrp Music Sessions Vol 52,Bizarrap,Pop,7/6/2022,92,1692951462,78,1132539234,2054826154,138254,6836893,0,UYB282201028,2tTmW7RDtMQtBk7m2rYeSw,0.0125,0.621,198938.0,0.782,0.033,2.0,0.23,-5.548,1.0,0.044,128.033,4.0,0.55
Magnetic,ILLIT,Latin,3/25/2024,93,255076355,86,202206901,506476590,4716,659825,0,USA2P2413259,1aKvZDoLGkNMxoRYgkckZG,0.257,0.797,160688.0,0.668,0.0,6.0,0.0876,-5.819,1.0,0.0687,131.067,4.0,0.69
Lollipop,Darell,Latin,7/28/2023,94,275349653,70,347506860,4767676439,23875,1245874,1,USSD12300307,3cDyocF0Ibdfs1SFQk5cLZ,0.179,0.822,199947.0,0.711,1.46e-05,6.0,0.083,-4.943,1.0,0.0668,102.984,4.0,0.934
La Diabla,Xavi,Latin,12/2/2023,95,649404552,83,433839212,10603563,16287,1380069,0,USA2P2357356,0R6NfOiLzLj4O5VbYSJAjf,0.255,0.751,172264.0,0.819,0.0,11.0,0.236,-4.372,0.0,0.0409,131.842,3.0,0.697
Boys A Liar Pt 2,PinkPantheress,Pop,2/3/2023,96,851085705,70,211810152,8781020473,223173,2580691,1,GBAYE2300015,5CCr8msaN3MhgqBoa9yWhH,0.252,0.696,131013.0,0.809,0.000128,5.0,0.248,-8.254,1.0,0.05,132.962,4.0,0.857
Snooze,SZA,Pop,12/9/2022,97,1013350808,84,390677417,887803828,559589,3129609,1,USRC12204591,4iZ4pt7kvcaH6Yo8UoZ4s2,0.141,0.559,201800.0,0.551,0.0,5.0,0.11,-7.231,1.0,0.132,143.008,4.0,0.392
Bellakeo,Peso Pluma,Pop,12/7/2023,98,359803580,86,369321334,874056250,16952,1002835,1,QMFMF2388143,05WVKTdZhlIMX4qqMLuo0f,0.0562,0.72,197333.0,0.88,0.06,9.0,0.153,-2.834,1.0,0.101,180.011,4.0,0.463
Lil Boo Thang,Paul Russell,Latin,8/18/2023,102,242070373,76,22907992,3832221658,370635,2219984,0,USAR12300323,0cVyQfDyRnMJ0V3rjjdlU3,0.152,0.85,114234.0,0.699,0.0,0.0,0.32,-3.292,1.0,0.0776,114.481,4.0,0.915
Monaco,Bad Bunny,R&B/Soul,10/13/2023,103,478150858,78,113379734,2111289492,35330,2255465,1,QMFME2364182,4MjDJD8cW7iVeWInc2Bdyj,0.15,0.787,267194.0,0.621,0.000402,4.0,0.58,-5.009,0.0,0.068,139.056,4.0,0.13
Laxed Siren Beat,Jawsh 685,R&B/Soul,4/24/2020,104,61382407,43,9977490,147837262,10152,3819161,0,USSM12002399,3BJiF37kmX4HCfYSO7qBnQ,0.0577,0.736,201990.0,0.62,0.692,0.0,0.318,-8.481,0.0,0.11,150.026,4.0,0.959
Training Season,Dua Lipa,Latin,2/15/2024,106,251153869,76,66691067,431390500,180711,2047771,0,GBAHT2301078,5b5cPscqVEMChvDqscVw26,0.0349,0.812,209488.0,0.587,2.64e-06,5.0,0.123,-4.483,0.0,0.0477,123.041,4.0,0.664
The Box,Roddy Ricch,Latin,12/6/2019,109,1911559785,78,441257231,4574447121,296948,11988760,1,USAT21906978,0nbXyq5TXYPCO7pr3N8S4I,0.104,0.896,196653.0,0.586,0.0,10.0,0.79,-6.687,0.0,0.0559,116.971,4.0,0.642
Industry Baby,Lil Nas X,Pop,7/23/2021,110,2014959725,70,1003346208,9558947943,245228,12693846,1,USSM12104539,5Z9KJZvQzH6PFmb8SNkxuk,0.0221,0.741,212353.0,0.691,0.0,10.0,0.0476,-7.395,0.0,0.0672,150.087,4.0,0.892
Fast Car,Luke Combs,R&B/Soul,3/24/2023,112,518988585,80,107703759,924204888,673629,3108167,0,US6XF2200436,1Lo0QY9cvc8sUB2vnIOxDT,0.186,0.712,265493.0,0.603,0.0,8.0,0.115,-5.52,1.0,0.0262,97.994,4.0,0.67
Blingbangbangborn,Creepy Nuts,Latin,1/7/2024,113,247399972,80,389540239,296522040,807,1069500,0,JPU902305042,0kdqcbwei4MDWFEX5f33yG,0.0841,0.853,168136.0,0.822,0.00985,6.0,0.166,-6.836,0.0,0.246,157.013,4.0,0.746
Aesthetic,Tollan Kim,Acoustic/Folk,3/4/2022,114,5712985,44,3120073,33870791454,22,249823,0,SGB502208576,5ncErj7HWEU2LfGrtw7Jb0,0.863,0.665,134002.0,0.251,0.889,2.0,0.0837,-12.096,1.0,0.0435,172.027,4.0,0.716
Sunflower Spiderman Into The Spiderverse,Post Malone,Indie/Alternative,10/18/2018,116,3358704125,79,2763188773,1597453878,273683,1569935,0,USUM71814888,3KkXRkHbMCARz0aVfEt68P,0.552,0.76,158040.0,0.478,0.0,2.0,0.0703,-5.574,1.0,0.0467,89.908,4.0,0.913
Believer,Imagine Dragons,Latin,1/31/2017,119,3006226762,81,4495059988,5876458723,253782,21306706,0,USUM71700626,0pqnGHJpmpxLKifKRmU6WP,0.0622,0.776,204347.0,0.78,0.0,10.0,0.081,-4.374,0.0,0.128,124.949,4.0,0.666
Wait For U,Future,Indie/Alternative,4/27/2022,120,787155930,77,357772653,836550889,463665,3534164,1,USSM12203789,59nOXPmaKlBfGMDeOVGrIK,0.314,0.463,189893.0,0.642,0.0,1.0,0.0686,-4.474,1.0,0.34,83.389,4.0,0.339
I Know,Travis Scott,Latin,7/28/2023,121,532605345,81,97958347,947194801,107637,1861958,1,USSM12305012,6wsqVwoiVH2kde4k4KKAFU,0.0186,0.927,211582.0,0.619,0.0,5.0,0.104,-4.441,0.0,0.0539,117.995,4.0,0.817
Ando,Jere Klein,R&B/Soul,9/27/2023,122,292789738,72,406307035,872862858,1754,1195337,1,QMDA72363047,4GvEuYAfJlICR2SpMDaBxQ,0.00412,0.84,172774.0,0.597,0.000129,8.0,0.0903,-7.602,0.0,0.0615,98.036,4.0,0.493
First Class,Jack Harlow,R&B/Soul,4/8/2022,123,818858244,71,231229581,6890780336,666615,4244972,1,USAT22203024,0wHFktze2PHC5jDt3B17DC,0.111,0.902,173948.0,0.582,3.18e-06,5.0,0.111,-5.902,0.0,0.109,107.005,4.0,0.332
Fen,Travis Scott,Pop,7/28/2023,124,659010786,86,125203447,107398826,37314,1839283,1,USSM12305010,42VsgItocQwOQC3XWZ8JNA,0.0316,0.569,191701.0,0.882,0.0,3.0,0.142,-2.777,0.0,0.06,148.038,4.0,0.201
I Aint Worried,OneRepublic,Pop,5/13/2022,127,1607421145,83,409785349,1825552705,523907,9091826,0,USUM72206227,4h9wh7iOZ0GGn8QVp4RAOB,0.0826,0.704,148486.0,0.797,0.000745,0.0,0.0546,-5.927,1.0,0.0475,139.994,4.0,0.825
Mi Ex Tena Ra,KAROL G,Pop,8/10/2023,128,438796949,78,509727241,782582119,60758,865444,0,USUG12305253,54zcJnb3tp9c5OVKREZ1Is,0.0776,0.634,154375.0,0.725,0.0,5.0,0.211,-4.945,0.0,0.0587,159.845,4.0,0.795
Mood,24kGoldn,Pop,7/24/2020,130,1867736006,76,747126783,1768836179,931316,10228436,1,USQX92003025,4jPy3l0RUwlUI9T5XHBW2m,0.174,0.701,140533.0,0.716,0.0,7.0,0.324,-3.671,0.0,0.0361,91.007,4.0,0.732
Dynamite,BTS,Pop,8/21/2020,131,1872577908,74,2638957320,5063720138,351169,7896781,0,QM7282022872,5QDLhrAOJJdNAmCTJ8xMyW,0.0112,0.746,199054.0,0.765,0.0,6.0,0.0936,-4.41,0.0,0.0993,114.044,4.0,0.737
Someone You Loved,Lewis Capaldi,Acoustic/Folk,11/8/2018,133,3427498835,82,2153701892,2161032034,600211,29266297,0,DEUM71807062,7qEHsqek33rTcFNT9PFqLf,0.751,0.501,182161.0,0.405,0.0,1.0,0.105,-5.679,1.0,0.0319,109.891,4.0,0.446
Acrs,Shakira,Acoustic/Folk,5/11/2023,134,230849195,64,363082908,1551501289,24103,623446,0,USQX92302824,7txjUEY6McJDJKqIo1Rxjp,0.84,0.75,170000.0,0.48,0.0,11.0,0.1,-8.89,1.0,0.12,143.87,4.0,0.35
Made You Look,Meghan Trainor,Latin,10/21/2022,135,720720922,77,221078988,15247253457,412680,3086624,0,USSM12204574,0QHEIqNKsMoOY5urbzN48u,0.34,0.834,134256.0,0.522,1.59e-06,10.0,0.0783,-3.574,1.0,0.0703,145.035,4.0,0.854
Vampire,Olivia Rodrigo,Pop,6/30/2023,138,998964097,18,113450524,1448207880,161513,4872257,1,USUG12304091,1kuGVB7EU95pJObxwvfwKS,0.154,0.484,219724.0,0.53,0.0,5.0,0.263,-5.821,1.0,0.0538,136.848,4.0,0.323
Casca De Bala,Thullio MilionÃÂ¯ÃÂ¿ÃÂ½ÃÂ¯ÃÂ¿,Pop,3/1/2024,139,37157630,74,63418833,8850449,190,42895,0,BCAEW2400001,5mJcnekfy4DEpAZ6uAHM7Y,0.634,0.747,133360.0,0.948,0.0,10.0,0.149,-3.386,0.0,0.174,135.887,4.0,0.798
People,Libianca,Indie/Alternative,12/5/2022,141,631955547,74,305998382,3233505931,122781,6121126,1,QZTB52268087,26b3oVLrRUaaybJulow9kz,0.551,0.573,184791.0,0.422,1.31e-05,10.0,0.102,-7.621,0.0,0.0678,124.357,5.0,0.693
La Bachata,Manuel Turizo,Latin,5/26/2022,146,1721045197,81,798827877,2596777974,152522,4817885,0,QZDYA1800087,3tt9i3Hhzq84dPS8H7iSiJ,0.583,0.835,162638.0,0.679,1.98e-06,7.0,0.218,-5.329,0.0,0.0364,124.98,4.0,0.85
Peaches,Justin Bieber,Pop,3/19/2021,148,1612286123,74,1019256266,4702037810,569287,7848760,1,USUM72102636,4iJyoBOLtHqaGxP12qzhQI,0.321,0.677,198082.0,0.696,0.0,0.0,0.42,-6.181,1.0,0.119,90.03,4.0,0.464
Dont Start Now,Dua Lipa,Latin,10/31/2019,149,2607121959,78,1201600884,3535661993,999941,13421701,0,GBAHT1901121,3PfIrDoz19wz7qK7tYeu62,0.0123,0.793,183290.0,0.793,0.0,11.0,0.0951,-4.521,0.0,0.083,123.95,4.0,0.679
Lucid Dreams,Juice WRLD,Indie/Alternative,5/4/2018,150,2548389305,78,987143411,338071383,69562,9308937,1,USUG11800685,285pBltuF7vW8TeWk8hdRR,0.349,0.511,239836.0,0.566,0.0,6.0,0.34,-7.23,0.0,0.2,83.903,4.0,0.218
Provenza,KAROL G,Latin,4/22/2022,151,1185929926,76,1229843060,2829294043,130158,3397861,0,USUM72205906,3HqcNJdZ2seoGxhn0wVNDK,0.61,0.863,207627.0,0.502,0.00765,1.0,0.11,-7.912,1.0,0.0496,111.029,4.0,0.567
Wap,Cardi B,Hip-Hop/Rap,8/7/2020,152,1325725696,72,1329826741,9539547626,91249,4618794,1,USAT22005111,4Oun2ylbjFKMPTiaSbbCih,0.0194,0.935,187541.0,0.454,0.0,1.0,0.0824,-7.509,1.0,0.375,133.073,4.0,0.357
Spot,ZICO,Latin,4/26/2024,153,77757035,81,100148771,366905484,1861,173263,0,USA2P2421932,1SS0WlKhJewviwEDZ6dWj0,0.151,0.875,167707.0,0.782,0.0,5.0,0.113,-3.905,0.0,0.078,108.038,4.0,0.906
